"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Park A.; Kim T.","Park, Arum (35183746600); Kim, Taekyung (57141108400)","35183746600; 57141108400","Code suggestions and explanations in programming learning: Use of ChatGPT and performance","2025","International Journal of Management Education","23","2","101119","","","26","10.1016/j.ijme.2024.101119","https://www.scopus.com/pages/publications/85212851213?origin=resultslist","College of Business, Department of Business Administration, Kwangwoon University, South Korea; School of Bussiness, Big Data Analytics, Kyung Hee University, South Korea","Park A., College of Business, Department of Business Administration, Kwangwoon University, South Korea; Kim T., School of Bussiness, Big Data Analytics, Kyung Hee University, South Korea","This study investigates the role of generative artificial intelligence (AI) chatbots, particularly ChatGPT, in enhancing programming education for university students, specifically in big data analytics. The research addresses the growing need for innovative educational practices, especially in developed East Asian countries like South Korea, where declining university enrollment presents new challenges. Using a sample size of N = 343 students, this mixed-methods research employed controlled experiments and surveys to compare student performance in programming tasks across three groups: those using ChatGPT, those using Stack Overflow, and a control group without external assistance. Results showed that students using ChatGPT significantly outperformed those relying on Stack Overflow or no assistance, particularly in hands-on coding tasks. This research contributes to the ongoing discourse on AI in education by providing empirical evidence of generative AI's effectiveness in improving learning outcomes and engagement, while also highlighting the challenges associated with integrating AI into educational settings. The findings emphasize the potential of ChatGPT to personalize learning experiences, improve performance, and offer real-time support, underscoring the need for a balanced curriculum design that incorporates AI while maintaining academic integrity and human oversight. © 2024 Elsevier Ltd","ChatGPT; Education; Future of education; Management education; OpenAI; Programming skills","","Article","Final","","Scopus","2-s2.0-85212851213"
"Wani T.A.; Liem M.; Prasad N.; Robinson K.; Nexhip A.; Tassos M.; Gjorgioski S.; Khan U.R.; Boyd J.; Riley M.","Wani, Tafheem Ahmad (57205723584); Liem, Michael (59205308500); Prasad, Natasha (57208445070); Robinson, Kerin (55439665700); Nexhip, Abbey (57845506200); Tassos, Melanie (58642713200); Gjorgioski, Stephanie (57217166147); Khan, Urooj Raza (57992971100); Boyd, James (55439269600); Riley, Merilyn (7203009777)","57205723584; 59205308500; 57208445070; 55439665700; 57845506200; 58642713200; 57217166147; 57992971100; 55439269600; 7203009777","Susceptibility of Assessment Types to AI-Generated Content in Digital Health and Health Information Management Education: Quasi-Experimental Pilot Study","2026","JMIR Medical Education","12","","e82988","","","0","10.2196/82988","https://www.scopus.com/pages/publications/105036306341?origin=resultslist","School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia","Wani T.A., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Liem M., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Prasad N., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Robinson K., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Nexhip A., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Tassos M., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Gjorgioski S., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Khan U.R., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Boyd J., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Riley M., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia","Background: Generative artificial intelligence (AI) tools, such as ChatGPT, are increasingly used in higher education and have raised significant concerns about assessment validity and academic integrity. In Digital Health and Health Information Management (DIGHIM) programs, assessments are designed to evaluate a mix of technical skills, contextual reasoning, and professional judgment that underpin medical and health practice. Understanding how generative AI performs across different assessment types is, therefore, critical to identifying which formats are most susceptible to AI-generated content and how assessments may be redesigned to remain authentic and educationally meaningful. Objective: This study aimed to evaluate ChatGPT’s performance across diverse assessment types in DIGHIM education by examining how task complexity influences AI-generated output quality, and develop recommendations for ethical and effective AI integration in assessments. Methods: A pilot quasi-experimental design compared ChatGPT-generated responses with deidentified student submissions across 5 assessment types: digital health solution design, business case analysis, reflective assessment, SQL health database programming, and a health classification quiz. For each task, multiple AI submissions were produced using different prompting strategies, including rubric integration and the use of ChatGPT (GPT-4 and o1 Preview model). Blinded academic markers evaluated all AI-generated submissions and previously submitted deidentified student assessments against standard rubrics, and descriptive statistics were used to compare performance. Results: ChatGPT’s performance varied considerably across assessment types. It achieved its highest accuracy scores in objective, rule-based tasks such as multiple-choice quiz items in health classification (mean 88%, SD 0%) and produced well-structured, coherent responses for reflective assessments (mean 69%, SD 12.8%), though these often lacked personalization and nuanced industry context. In descriptive analytical tasks, such as digital health business cases and solution designs, ChatGPT produced logically structured work with reasonable use of evidence but failed to provide deep contextualization, domain-specific insights, or visual elements expected in DIGHIM practice. Technical assessments revealed the greatest limitations: SQL programming tasks averaged 42% (SD 17.2%) with persistent schema errors, incomplete queries, and weak interpretation of health data outputs, while scenario-based clinical coding scored just 7% (SD 0%), reflecting a lack of precision in applying ICD-10-AM (International Classification of Diseases, Tenth Revision, Australian Modification) rules and coding conventions. Structured prompting and rubric integration improved results, particularly in descriptive and reflective tasks (up to 80%), but the advanced o1 Preview model did not consistently outperform earlier versions. Conclusions: While ChatGPT performs well in structured, rule-based, and reflective tasks, it remains limited in technical accuracy, contextual reasoning, and applied DIGHIM competencies. To support academic integrity and workforce readiness, assessment design should prioritize critical thinking, ethical reasoning, and scenario-based problem-solving aligned with health care practice. Using AI as a tool for critique and refinement, rather than a substitute for student work, may help educators prepare learners for responsible AI use in medical and health professional education. ©Tafheem Ahmad Wani, Michael Liem, Natasha Prasad, Kerin Robinson, Abbey Nexhip, Melanie Tassos, Stephanie Gjorgioski, Urooj Raza Khan, James Boyd, Merilyn Riley.","academic integrity; assessment design; ChatGPT performance; digital health education; generative artificial intelligence; health information management; quasi-experimental study","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105036306341"
"Lee Y.-F.; Hwang G.-J.; Cheng L.-C.","Lee, Yen-Fen (57223101865); Hwang, Gwo-Jen (7202677655); Cheng, Li-Chen (27169815300)","57223101865; 7202677655; 27169815300","Impacts of a ChatGPT-supported concept mapping approach on students’ database programming achievement and their problem-solving and critical thinking awareness","2026","Interactive Learning Environments","34","3","","1467","1486","4","10.1080/10494820.2025.2523395","https://www.scopus.com/pages/publications/105009950104?origin=resultslist","Department of Information and Finance Management, National Taipei University of Technology, Taipei, Taiwan; Graduate Institute of Digital Learning and Education, National Taiwan University of Science and Technology, Taipei, Taiwan; Graduate Institute of Education, Measurement and Statistics, National Taichung University of Education, Taichung, Taiwan","Lee Y.-F., Department of Information and Finance Management, National Taipei University of Technology, Taipei, Taiwan; Hwang G.-J., Graduate Institute of Digital Learning and Education, National Taiwan University of Science and Technology, Taipei, Taiwan, Graduate Institute of Education, Measurement and Statistics, National Taichung University of Education, Taichung, Taiwan; Cheng L.-C., Department of Information and Finance Management, National Taipei University of Technology, Taipei, Taiwan","In the era of artificial intelligence (AI), there is growing interest in applying generative AI to education, particularly in programming instruction. Traditional instruction often challenges students to grasp abstract programming concepts. This study explored using ChatGPT as a virtual teaching assistant to enhance learning support. Teachers integrated ChatGPT with concept mapping to assist students in system analysis, design, and question-solving. We proposed a ChatGPT-supported concept mapping-based database programming (GPT-CMDP) approach and evaluated its effectiveness. Participants were university students in northern Taiwan, with 30 in the GPT-CMDP group and 26 in a control group using the conventional concept mapping-based approach (C-CMDP). Results showed that GPT-CMDP students had significantly higher academic performance and better critical thinking and problem-solving skills than the C-CMDP group. These findings highlight the potential of generative AI in enhancing programming education and offer valuable directions for future research. © 2025 Informa UK Limited, trading as Taylor & Francis Group.","ChatGPT; concept mapping; critical thinking awareness; problem-solving; programming language learning; virtual teaching assistant","","Article","Final","","Scopus","2-s2.0-105009950104"
"Antwi-Boasiako E.; Assyne N.; Engmann F.N.A.; Adabor E.S.","Antwi-Boasiako, Emmanuel (57190345100); Assyne, Nana (56342063100); Engmann, Felicia N. A. (56801755100); Adabor, Emmanuel S. (56400981300)","57190345100; 56342063100; 56801755100; 56400981300","Evaluating the Potential Impact of Large Language Models on Teaching and Learning Core Academic Subjects and Measuring System-Wide Participation","2025","Signals and Communication Technology","Part F1122","","","397","445","0","10.1007/978-3-031-96855-6_18","https://www.scopus.com/pages/publications/105021301055?origin=resultslist","Department of Computer Science and Information Systems, Ghana Institute of Management and Public Administration (GIMPA), Accra, Ghana","Antwi-Boasiako E., Department of Computer Science and Information Systems, Ghana Institute of Management and Public Administration (GIMPA), Accra, Ghana; Assyne N., Department of Computer Science and Information Systems, Ghana Institute of Management and Public Administration (GIMPA), Accra, Ghana; Engmann F.N.A., Department of Computer Science and Information Systems, Ghana Institute of Management and Public Administration (GIMPA), Accra, Ghana; Adabor E.S., Department of Computer Science and Information Systems, Ghana Institute of Management and Public Administration (GIMPA), Accra, Ghana","The integration of artificial intelligence (AI) in education is rapidly transforming teaching and learning processes, with large language models (LLMs) such as ChatGPT, Microsoft Copilot, and Google Gemini leading the charge. This study investigates the impact of LLMs on core academic subjects in Ghanaian tertiary institutions, focusing on their effects on teaching effectiveness, student engagement, and learning outcomes. Using a qualitative approach, we gathered insights from both educators and students in disciplines such as computer and information security, programming, business intelligence, and research methods across institutions like the Ghana Institute of Management and Public Administration (GIMPA), University of Ghana, and University for Development Studies. The findings reveal that LLMs significantly enhance teaching by streamlining content preparation, facilitating interactive learning, and offering personalized, real-time feedback. Students reported increased engagement and improved comprehension, which contributed to better academic performance. However, challenges such as the financial burden of accessing premium versions, technical barriers like unreliable Internet access, and risk of student overreliance on AI tools were identified. Additionally, the study highlights ethical concerns surrounding data privacy, algorithmic bias, and equitable access, particularly in resource-constrained environments. To address these issues, the need for localized AI solutions tailored to specific cultural and linguistic contexts is emphasized. Furthermore, the research proposes the development of robust metrics to measure system-wide participation and assess the effectiveness of AI-driven educational initiatives. These metrics are essential for informing future AI integration strategies in educational settings. The study concludes by calling for further research to refine these findings through quantitative analysis, aiming to provide deeper insights into the optimal use of LLMs in diverse educational contexts. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Artificial intelligence; Large language models; LLM in teaching and learning; System-wide participation","Computer programming; Data privacy; E-learning; Education computing; Information management; Network security; Research and development management; Students; Teaching; Artificial intelligence in education; Language model; Large language model; Large language model in teaching and learning; Measuring systems; Potential impacts; System-wide participation; Teaching and learning; Teaching process; Artificial intelligence","Book chapter","Final","","Scopus","2-s2.0-105021301055"
"","","","18th International Conference on Blended Learning, ICBL 2025","2025","Lecture Notes in Computer Science","15721 LNCS","","","","","0","","https://www.scopus.com/pages/publications/105010026223?origin=resultslist","","","The proceedings contain 24 papers. The special focus in this conference is on Blended Learning. The topics include: The 3D-POD Model for AI-Driven Institutional Transformation and Graduate Employment Readiness in Thailand in Digital Era; leveraging Artificial Intelligence for Enhanced Language Teaching and Learning in Higher Education; University Students’ Perceptions of Using Generative AI in Digital Story Creation: Cognition, Willingness, and Concerns; Enhancing Psychological Safety in Online Learning Environment with Generative AI; Exploring Sustainable Determinants to the Continuance Intention of Generative AI in Education; a Humanoid Robot-Assisted Collaborative Programming Approach to Improving Middle School Students’ Computational Thinking, Learning Motivation and Interaction; learning Programming by Making Games: Design and Development of MetaDream; Promoting Preschool Second Language Vocabulary Learning Through a DVR Educational Game; enhancing Database Course Experiments with Cyber Ranges: A New Approach in Educational Practice; Designing a Workshop to Develop Azerbaijani Teachers’ Thinking Skills Instruction Through ChatGPT; effects of E-Learning Acceptance on Academic Performance and E- Learning Satisfaction Among College Students in a Blended Learning Context; the Effectiveness of Blended Learning and a Future Vision of Optimal Learning, as Observed from Data Collected from Approximately 3,000 Adults Enrolled in Corporate Language Learning Courses at Japanese Companies; enhance Learner Engagement Through Experiential Learning in a Gamified Simulation: A Longitudinal Study; design Human-Machine Collaborative Learning Activities for Enhancing Primary School Students’ English Listening and Speaking Ability; an Analysis of Evaluation Practices in Agile Learning and Blended Learning; implementation of Agile-Blended Learning: A Case Study of Course Design on Translation Technology.","","","Conference review","Final","","Scopus","2-s2.0-105010026223"
"Mendonça N.C.","Mendonça, Nabor C. (55889032000)","55889032000","Evaluating ChatGPT-4 Vision on Brazil’s National Undergraduate Computer Science Exam","2024","ACM Transactions on Computing Education","24","3","37","","","10","10.1145/3674149","https://www.scopus.com/pages/publications/85206220402?origin=resultslist","Post-Graduate Program in Applied Informatics, University of Fortaleza, Av. Washington Soares, Edson Queiroz, Ceará, Fortaleza, Brazil","Mendonça N.C., Post-Graduate Program in Applied Informatics, University of Fortaleza, Av. Washington Soares, Edson Queiroz, Ceará, Fortaleza, Brazil","The recent integration of visual capabilities into Large Language Models (LLMs) has the potential to play a pivotal role in science and technology education, where visual elements such as diagrams, charts, and tables are commonly used to improve the learning experience. This study investigates the performance of ChatGPT-4 Vision, OpenAI’s most advanced visual model at the time the study was conducted, on the Bachelor in Computer Science section of Brazil’s 2021 National Undergraduate Exam (ENADE). By presenting the model with the exam’s open and multiple-choice questions in their original image format and allowing for reassessment in response to differing answer keys, we were able to evaluate the model’s reasoning and self-reflecting capabilities in a large-scale academic assessment involving textual and visual content. ChatGPT-4 Vision significantly outperformed the average exam participant, positioning itself within the top 10 best score percentile. While it excelled in questions that incorporated visual elements, it also encountered challenges with question interpretation, logical reasoning, and visual acuity. A positive correlation between the model’s performance in multiple-choice questions and the performance distribution of the human participants suggests multimodal LLMs can provide a useful tool for question testing and refinement. However, the involvement of an independent expert panel to review cases of disagreement between the model and the answer key revealed some poorly constructed questions containing vague or ambiguous statements, calling attention to the critical need for improved question design in future exams. Our findings suggest that while ChatGPT-4 Vision shows promise in multimodal academic evaluations, human oversight remains crucial for verifying the model’s accuracy and ensuring the fairness of high-stakes educational exams. The paper’s research materials are publicly available at https://github.com/nabormendonca/gpt-4v-enade-cs-2021. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.","ChatGPT-4 vision; computer science education; educational assessment; Multimodal generative AI","C (programming language); Computer vision; Visual languages; ChatGPT-4 vision; Computer Science Education; Educational assessment; Language model; Multi-modal; Multimodal generative AI; Multiple-choice questions; Performance; Science education; Visual elements; Students","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85206220402"
"Tadimalla S.Y.; Maher M.L.; Najjar N.; Simon C.","Tadimalla, Sri Yash (58002046600); Maher, Mary Lou (55665594500); Najjar, Nadia (25925977800); Simon, Coy (60515658200)","58002046600; 55665594500; 25925977800; 60515658200","The Impact of AI Tools on the Student Programming Experience: Interactions, Attitudes & Perceptions","2025","Proceedings - Frontiers in Education Conference, FIE","","","","","","0","10.1109/FIE63693.2025.11328137","https://www.scopus.com/pages/publications/105033043749?origin=resultslist","University of North Carolina, Department of Software Information Systems, Charlotte, NC, United States","Tadimalla S.Y., University of North Carolina, Department of Software Information Systems, Charlotte, NC, United States; Maher M.L., University of North Carolina, Department of Software Information Systems, Charlotte, NC, United States; Najjar N., University of North Carolina, Department of Software Information Systems, Charlotte, NC, United States; Simon C., University of North Carolina, Department of Software Information Systems, Charlotte, NC, United States","This research paper contributes to the growing body of knowledge by highlighting the need for a nuanced understanding of how AI-assisted programming environments impact the student experience. Our research investigates three critical questions: How do students interact with AI tools during programming tasks (loops and arrays), and what patterns emerge in their AI-assisted programming experiences? How does integrating AI tools into programming tasks influence student learning, performance, motivation, and perceived understanding of core programming concepts such as loops and arrays? How do students perceive the role of AI tools in supporting or hindering their programming experience, including attitudes toward helpfulness, academic integrity, trust, and ethical concerns? In this study, student programming experience is defined holistically as students' cognitive engagement, perceived learning, emotional response, interaction patterns with tools, ethical considerations, and future motivation related to using AI tools for programming tasks. Ten post-task survey questions, combining Likert scale ratings and open-ended reflections, inform this operationalization. To explore these research questions, we designed a study involving 50 participants (n = 50) from diverse intersectional backgrounds, recruited from an AI Literacy course. The study includes a pre-task assessment, a programming assignment with access to an AI chatbot (OpenAI ChatGPT 3.5) for natural language assistance and code snippets, a post-task assessment, and a reflection survey that captures participants' experiences and perceptions of the AI tool. Through the triangulation of data from coding task performance, pre- and post-assessment scores, and survey responses, we identify preliminary associations between student performance and their perceptions and attitudes towards AI tools. Despite the challenges in achieving statistical significance due to small sample size, our findings offer valuable insights into the role of perception in shaping students' interaction with AI tools in programming education. © 2025 IEEE.","AI attitude; AI perception; AI-assisted Programming; Student Identity","Artificial intelligence; Curricula; Education computing; Philosophical aspects; Students; AI attitude; AI perception; AI-assisted programming; Body of knowledge; Growing bodies; Post-tasks; Programming experience; Programming tasks; Research papers; Student identity; Motivation","Conference paper","Final","","Scopus","2-s2.0-105033043749"
"Hayat A.; Akil S.W.; Martinez H.; Khan B.; Hasan M.R.","Hayat, Ahatsham (57728872700); Akil, Sharif Wayne (59298655200); Martinez, Helen (59298187600); Khan, Bilal (26643589300); Hasan, Mohammad Rashedul (55953776300)","57728872700; 59298655200; 59298187600; 26643589300; 55953776300","Board 268: Enhancing Zero-Shot Learning of Large Language Models for Early Forecasting of STEM Performance","2024","ASEE Annual Conference and Exposition, Conference Proceedings","","","","","","2","","https://www.scopus.com/pages/publications/85202049519?origin=resultslist","University of Nebraska, Lincoln, United States; Lehigh University, United States","Hayat A., University of Nebraska, Lincoln, United States; Akil S.W., University of Nebraska, Lincoln, United States; Martinez H., University of Nebraska, Lincoln, United States; Khan B., Lehigh University, United States; Hasan M.R., University of Nebraska, Lincoln, United States","This paper introduces an innovative application of conversational Large Language Models (LLMs), such as OpenAI's ChatGPT and Google's Gemini, for the early prediction of student performance in STEM education, circumventing the need for extensive data collection or specialized model training. Utilizing the intrinsic capabilities of these pre-trained LLMs, we develop a cost-efficient, training-free strategy for forecasting end-of-semester outcomes based on initial academic indicators. Our research investigates the efficacy of these LLMs in zero-shot learning scenarios, focusing on their ability to forecast academic outcomes from minimal input. By incorporating diverse data elements, including students' background, cognitive, and non-cognitive factors, we aim to enhance the models' zero-shot forecasting accuracy. Our empirical studies on data from first-year college students in an introductory programming course reveal the potential of conversational LLMs to offer early warnings about students at risk, thereby facilitating timely interventions. The findings suggest that while fine-tuning could further improve performance, our training-free approach presents a valuable tool for educators and institutions facing resource constraints. The inclusion of broader feature dimensions and the strategic design of cognitive assessments emerge as key factors in maximizing the zero-shot efficacy of LLMs for educational forecasting. Our work underscores the significant opportunities for leveraging conversational LLMs in educational settings and sets the stage for future advancements in personalized, data-driven student support. © American Society for Engineering Education, 2024.","","Adversarial machine learning; Curricula; Prediction models; Students; Cost-efficient; Data collection; Early prediction; Google+; Language model; Learning scenarios; Model training; Performance; STEM education; Student performance; Zero-shot learning","Conference paper","Final","","Scopus","2-s2.0-85202049519"
"Ahmed Y.A.; Sharo A.","Ahmed, Yazan Al (59670111200); Sharo, Abdulla (16040307400)","59670111200; 16040307400","On the Education Effect of CHATGPT: Is AI CHATGPT to Dominate Education Career Profession?","2023","2023 International Conference on Intelligent Computing, Communication, Networking and Services, ICCNS 2023","","","","79","84","35","10.1109/ICCNS58795.2023.10192993","https://www.scopus.com/pages/publications/85168392975?origin=resultslist","Al Ain University, College of Engineering, Abu Dhabi, United Arab Emirates","Ahmed Y.A., Al Ain University, College of Engineering, Abu Dhabi, United Arab Emirates; Sharo A., Al Ain University, College of Engineering, Abu Dhabi, United Arab Emirates","In the year 2022, OpenAI invented a new model of ChatGPT, a Natural language processing (NLP) system that can hold natural chats while maintaining the context of the conversation. Since then, this tool has displayed numerous capabilities leading to increased research on its functionality and impacts on society. In this article, ChatGPT's influence on university education was examined. information linking the impact and usability of ChatGPT was collected for conducting the exams, solving programming exams, and term papers by examining over 50 essay papers from learners. The essay papers were chosen from different topics. Some of the essay papers chosen are those that had been done and completed in previous academic work. Different tool misuse levels were assessed, starting from the use of it as an assistant to simplify copying its outputs. In this case, How copying and pasting material directly from ChatGPTs can affect students' grades was deeply examined and compared since some of its answers are not termed correct. This issue is broadly discussed in this article. While it shows how this tool can be used to commit exam cheating, the article also touches on the potentially significant pros of the learning sector. For example, it might be used as help to describe challenges encountered while handling an assignment or to fasten the process of learning. The outcome showed that ChatGPT can assist scientists to generate coherent papers, accurate, informative, and systematic. This paper evaluated Artificial intelligence (AI)-generated work and actual learner-generated work and then compared the performance of each approach. This paper summarizes that new assessment formats are required to focus on critical thinking and creativity that Artificial intelligence cannot replace. © 2023 IEEE.","Academic Education; Artificial intelligence; ChatGPT; Computer security; virtual assistant","Artificial intelligence; E-learning; Natural language processing systems; Students; Academic education; Academic work; ChatGPT; Critical thinking; Education careers; Performance; Process of learning; Students' grades; University education; Virtual assistants; Security of data","Conference paper","Final","","Scopus","2-s2.0-85168392975"
"Li X.; Awang M.M.B.","Li, Xiaoyu (60395463500); Awang, Mohd Mahzan Bin (36894661100)","60395463500; 36894661100","Exploring the Role of Generative AI in Developing Student Skills in Higher Education: A Systematic Literature Review","2026","European Journal of Education","61","1","e70490","","","1","10.1111/ejed.70490","https://www.scopus.com/pages/publications/105030195044?origin=resultslist","Faculty of Education, The National University of Malaysia, Selangor, Bangi, Malaysia","Li X., Faculty of Education, The National University of Malaysia, Selangor, Bangi, Malaysia; Awang M.M.B., Faculty of Education, The National University of Malaysia, Selangor, Bangi, Malaysia","The emergence of generative AI (GenAI) has accelerated pedagogical innovation and reshaped pathways for student skills development in higher education. Among them, ChatGPT has gained widespread adoption, yet the mechanism through which GenAI contributes to student skills formation remains insufficiently understood. To address this gap, this study employs a systematic literature review of 99 empirical studies published between November 2022 and March 2025 across four major English-language databases: Scopus, Web of Science, ERIC, and IEEE Xplore. The review follows PRISMA guidelines and aims to clarify methodology trends, thematic categories, and skills development. The findings reveal that current research on GenAI in education is primarily concentrated in China and the United States and primarily adopts experimental or mixed-method designs. GenAI is conceptualised in six roles, namely, thinking mentor, writing assistant, learning companion, development coach, programming assistant, and creative generator. The research is mainly concentrated on four themes: cognitive skills and thinking skills development, academic writing and language performance enhancement, self-regulated learning and pedagogical innovation, and the development of composite competencies and future readiness. This study uses the three-stage coding method of grounded theory to systematically analyse the pathways through which GenAI interventions affect students' skills development in empirical studies. It then proposes a theoretical framework for students' skills development centred on the mechanisms of pedagogical innovation, learning support, and feedback regulation. The three subsystems in the framework work together to focus on developing four core skills: digital technology application skills, higher-order thinking skills, and AI ethical and self-directed learning skills. This study not only enriches the theoretical understanding of GenAI in educational contexts but also offers practical insights for reforming higher education systems toward skills-oriented teaching. © 2026 John Wiley & Sons Ltd.","ChatGPT; generative AI; higher education; student skills development; systematic literature review","","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-105030195044"
"Dang T.T.; Ling H.-C.; Tran N.Q.","Dang, Tran Tri (58034796800); Ling, Huo-Chong (8552090200); Tran, Ngoc Quang (59240141700)","58034796800; 8552090200; 59240141700","Combating ChatGPT-Based Programming Test Cheating - An Evaluation Using Public Problems","2024","Proceedings - 2024 6th International Conference on Computer Science and Technologies in Education, CSTE 2024","","","","161","165","5","10.1109/CSTE62025.2024.00037","https://www.scopus.com/pages/publications/85199968084?origin=resultslist","School of Science, Engineering & Technology RMIT University, Vietnam, Ho Chi Minh City, Viet Nam","Dang T.T., School of Science, Engineering & Technology RMIT University, Vietnam, Ho Chi Minh City, Viet Nam; Ling H.-C., School of Science, Engineering & Technology RMIT University, Vietnam, Ho Chi Minh City, Viet Nam; Tran N.Q., School of Science, Engineering & Technology RMIT University, Vietnam, Ho Chi Minh City, Viet Nam","The use of AI chatbots, such as ChatGPT, is increasingly popular across various domains, including education. While these tools offer valuable assistance to educators and students in teaching and learning activities, there is a growing concern about their potential misuse by students for cheating in assessments. This work aims to address the question of whether programming educators should be overly concerned about the misuse of ChatGPT by students. Our proposed approach consists of a two-step problem-solving process to explore the capabilities and limitations of ChatGPT in solving programming exercises. Our experiment results reveal that, despite ChatGPT's proficiency in generating solutions to programming problems, educators can strategically design authentic problems that challenge the tool, allowing for a more accurate evaluation of students' genuine academic performance.  © 2024 IEEE.","academic misconduct; assessment; ChatGPT; education; generative AI; programming","Academic misconducts; Assessment; Chatbots; ChatGPT; Generative AI; Learning Activity; Problem solving process; Programming; Teaching activities; Teaching and learning; Students","Conference paper","Final","","Scopus","2-s2.0-85199968084"
"Waqas M.; Hasan S.; Ali A.","Waqas, Maria (57195734345); Hasan, Shehzad (57903316000); Ali, Anita (60152277300)","57195734345; 57903316000; 60152277300","Effectiveness of Generative AI Tools in Computer Science and Engineering Education","2025","International Journal of Artificial Intelligence in Education","35","6","","4002","4033","0","10.1007/s40593-025-00525-2","https://www.scopus.com/pages/publications/105019537233?origin=resultslist","Department of Computer and Information Systems Engineering, NED University of Engineering and Technology, Karachi, Pakistan","Waqas M., Department of Computer and Information Systems Engineering, NED University of Engineering and Technology, Karachi, Pakistan; Hasan S., Department of Computer and Information Systems Engineering, NED University of Engineering and Technology, Karachi, Pakistan; Ali A., Department of Computer and Information Systems Engineering, NED University of Engineering and Technology, Karachi, Pakistan","This study investigates the role of ChatGPT, a generative artificial intelligence tool, in enhancing learning within computer science and engineering education. Conducted during the Fall 2023 semester, the work utilized ChatGPT based on the GPT-3.5 model to assess its effectiveness across three educational domains: programming, analytical problem-solving, and hardware-related system design. A structured methodology was implemented wherein students from multiple academic levels attempted tasks independently and then used ChatGPT for support. Their interactions and reflections were systematically recorded and analyzed to evaluate the model’s utility and limitations in an educational setting. Results indicated that ChatGPT was particularly effective in programming tasks, where it could generate accurate code and useful explanations. However, its performance declined in more complex areas such as artificial intelligence and computer architecture, where deeper analytical reasoning and domain-specific expertise were required. The study further highlights the value of training students in prompt engineering, which significantly improved their ability to formulate targeted queries, increased metacognitive awareness, and helped calibrate their trust in the tool’s responses. Recommendations include future integration of graphical diagram support to aid comprehension in visually complex subjects, such as system design and architecture. Key challenges identified include limited transparency in training data, the lack of visual support, and the need to assess whether prompt engineering skills and improved AI usage persist and transfer across courses. While newer reasoning-oriented models such as GPT-4, Claude 3, and DeepSeek may offer enhanced capabilities, these were not available during the Fall 2023 study period and are suggested for future evaluation. The study also calls for future research using these newer, more advanced large language models to reassess findings and ensure continued relevance as these tools evolve. Overall, this research provides valuable insights into the educational application of generative AI and informs future strategies for integrating AI tools into engineering pedagogy. © International Artificial Intelligence in Education Society 2025.","Artificial intelligence; ChatGPT; Computer science; Computer systems engineering; Generative AI; Large language models","Computer architecture; Computer programming languages; Computer systems programming; Education computing; Personnel training; Problem solving; Students; Systems analysis; Teaching; Analytical problems; Artificial intelligence tools; ChatGPT; Computer engineering education; Computer science and engineerings; Computer Science Education; Computer system engineering; Generative AI; Language model; Large language model; Engineering education","Article","Final","","Scopus","2-s2.0-105019537233"
